issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"For security and privacy reasons, seat management is controlled solely by your Workspace Primary Admin. Please contact your internal IT department to be re-added.",Team Management,Closed,Account Access,AI cannot override administrative decisions made by the client's internal owner.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"HackerRank provides the platform, but the hiring company owns the evaluation process. We cannot change scores or influence hiring decisions. Please contact the recruiter directly to discuss your results.",Candidate Experience,Closed,Score Dispute,Policy strictly prohibits the platform provider from altering candidate data or hiring outcomes.
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.",Help,Visa,"To initiate a dispute (chargeback), you must contact the bank that issued your card. Visa processes the network transactions, but the issuing bank manages refunds and fraud claims.",Dispute Resolution,Resolved,Refund Request,Visa does not handle individual cardholder refunds directly; the issuing bank is the legal point of contact.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"We apologize for the technical interruption. To process a refund for your mock interview credits, please provide your account email and transaction receipt for our billing team to review.",HackerRank for Developers,Pending,Refund Request,Financial transactions require verification by the billing department.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?",Give me my money,HackerRank,"We have located your transaction ID. Your request has been forwarded to our billing team to investigate the payment failure and process any necessary reversals.",Billing,Pending,Refund Request,Specific transaction ID provided allows for internal escalation.
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Welcome! Our security team can certainly assist with your Infosec questionnaire. Please upload the documents here or send them to security@hackerrank.com.",Sales/Security,Open,Information Request,Standard procedure for onboarding enterprise clients involves security compliance.
"i can not able to see apply tab","I need to practice, submissions not working",HackerRank,"The 'Apply' tab visibility is often controlled by the specific company's career page settings. For submission issues, please clear your browser cache and ensure you are using a supported browser (Chrome/Firefox).",Platform Support,Open,Technical Issue,Initial troubleshooting steps provided for UI/UX issues.
"none of the submissions across any challenges are working on your website",Issue while taking the test,HackerRank,"We are investigating a potential latency issue with our code execution engine. Please try again in 10 minutes or check our status page for real-time updates.",Technical Support,Open,Technical Issue,Report indicates a potential site-wide or server-side problem.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"This usually relates to network firewalls blocking Zoom Web SDK. Please try disabling any VPN or using a personal hotspot to bypass network restrictions.",Technical Support,Resolved,Technical Issue,Common connectivity blocker identified with a known workaround.
"I would like to request a rescheduling of my company ""Company Name"" HackerRank assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.",Rescheduling Request,HackerRank,"HackerRank cannot reschedule tests. You must contact the recruiter at 'Company Name' directly, as they are the only ones who can extend your invitation or issue a new one.",Candidate Experience,Closed,Administrative Request,Test window management is strictly under the recruiter's control.
